fecha,usd_clp
2026-01-07,896.82
2026-01-08,895.33
2026-01-09,896.89
2026-01-12,895.54
2026-01-13,885.71
2026-01-14,883.96
2026-01-15,882.74
2026-01-16,884.57
2026-01-19,887.01
2026-01-20,888.66
2026-01-21,889.54
2026-01-22,878.21
2026-01-23,872.22
2026-01-26,870.71
2026-01-27,862.98
2026-01-28,862.17
2026-01-29,857.95
2026-01-30,858.45
2026-02-02,865.1
2026-02-03,868.52
2026-02-04,859.53
2026-02-05,857.59
2026-02-06,865.67
2026-02-09,859.66
2026-02-10,854.25
2026-02-11,856.06
2026-02-12,856.38
2026-02-13,854.41
2026-02-16,863.5
2026-02-17,862.91
2026-02-18,868.24
2026-02-19,863.29
2026-02-20,866.74
